iteration,configuration selected,% warnings removed (cumulative),number of warnings remaining,minimal set
0,,0,45,[]
1,176,48.888888888888886,23,['176']
2,4,75.55555555555556,11,"['176', '4']"
3,287,88.88888888888889,5,"['176', '4', '287']"
4,287,95.55555555555556,2,"['176', '4', '287', '287']"
5,13,97.77777777777777,1,"['176', '4', '287', '287', '13']"
6,13,100.0,0,"['176', '4', '287', '287', '13', '13']"
