line,filename,tool,target,type,num_configs,variability,features
1445,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
85,tls1.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
186,gen_cert.c,CBMC,axtls_2_1_4,pointer dereference,493,True,CONFIG_SSL_GENERATE_X509_CERT
281,loader.c,CBMC,axtls_2_1_4,overflow,482,True,CONFIG_SSL_HAS_PEM
45,sha384.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
256,crypto_misc.c,CBMC,axtls_2_1_4,overflow,342,True,CONFIG_DEBUG and -CONFIG_STRIP_UNWANTED_SECTIONS
140,gen_cert.c,CBMC,axtls_2_1_4,pointer dereference,493,True,CONFIG_SSL_GENERATE_X509_CERT
645,proc.c,CBMC,axtls_2_1_4,pointer dereference,527,True,CONFIG_HTTP_CGI_EXTENSIONS and CONFIG_HTTP_HAS_CGI and CONFIG_HTTP_CGI_LAUNCHER
273,p12.c,CBMC,axtls_2_1_4,overflow,501,True,CONFIG_SSL_USE_PKCS12
97,/usr/include/x86_64-linux-gnu/bits/stdio2.h,CBMC,axtls_2_1_4,overflow,312,True,CONFIG_HTTP_VERBOSE and -CONFIG_DEBUG
224,p12.c,CBMC,axtls_2_1_4,overflow,159,True,CONFIG_DEBUG and CONFIG_SSL_USE_PKCS12 and -CONFIG_STRIP_UNWANTED_SECTIONS
62,tls1_svr.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
143,gen_cert.c,CBMC,axtls_2_1_4,pointer dereference,493,True,CONFIG_SSL_GENERATE_X509_CERT
225,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1313,bigint.c,CBMC,axtls_2_1_4,overflow,497,True,CONFIG_BIGINT_SLIDING_WINDOW
382,axhttpd.c,CBMC,axtls_2_1_4,pointer dereference,511,True,CONFIG_HTTP_DIRECTORIES
134,md5.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
332,asn1.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
1369,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
79,gen_cert.c,CBMC,axtls_2_1_4,pointer dereference,493,True,CONFIG_SSL_GENERATE_X509_CERT
1814,tls1.c,CBMC,axtls_2_1_4,pointer dereference,1000,False,generic
1392,bigint.c,CBMC,axtls_2_1_4,overflow,1000,False,generic
