iteration,removed,% removed,num remaining,configs
1,877,44.642857142857146,31,['877']
2,283,67.85714285714286,18,"['877', '283']"
3,361,82.14285714285714,10,"['877', '283', '361']"
4,301,89.28571428571429,6,"['877', '283', '361', '301']"
5,773,94.64285714285714,3,"['877', '283', '361', '301', '773']"
6,878,98.21428571428571,1,"['877', '283', '361', '301', '773', '878']"
7,814,100.0,0,"['877', '283', '361', '301', '773', '878', '814']"
