iteration,removed,% removed,num remaining,configs
1,604,48.214285714285715,58,['604']
2,341,74.10714285714286,29,"['604', '341']"
3,662,86.60714285714286,15,"['604', '341', '662']"
4,240,93.75,7,"['604', '341', '662', '240']"
5,240,97.32142857142857,3,"['604', '341', '662', '240', '240']"
6,731,99.10714285714286,1,"['604', '341', '662', '240', '240', '731']"
7,630,100.0,0,"['604', '341', '662', '240', '240', '731', '630']"
