iteration,removed,% remaining,num remaining,configs
1,605,47.82608695652174,24,['605']
2,430,73.91304347826086,12,"['605', '430']"
3,733,86.95652173913044,6,"['605', '430', '733']"
4,263,93.47826086956522,3,"['605', '430', '733', '263']"
5,354,97.82608695652173,1,"['605', '430', '733', '263', '354']"
6,7,100.0,0,"['605', '430', '733', '263', '354', '7']"
