line,filename,tool,description,target,type,configs,num_configs,variability,features
227,lib/xwrap.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,986,False,generic
145,toys/posix/kill.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,653,True,KILL
213,lib/xwrap.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,986,False,generic
625,lib/lib.c,infer,,toybox_0_7_5,RESOURCE_LEAK,,986,False,generic
1464,toys/posix/ps.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,962,True,PS or TOP or IOTOP or PGREP or PKILL
263,lib/xwrap.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,986,False,generic
769,lib/lib.c,infer,,toybox_0_7_5,DEAD_STORE,,986,False,generic
143,toys/lsb/md5sum.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,954,True,CONFIG_SHA1SUM or CONFIG_SHA384SUM or CONFIG_SHA512SUM or CONFIG_SHA224SUM or CONFIG_SHA256SUM or CONFIG_MD5SUM
62,toys/posix/comm.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,462,True,COMM
36,toys/other/mix.c,infer,,toybox_0_7_5,DEAD_STORE,,511,True,MIX
82,toys/net/rfkill.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,468,True,RFKILL
928,toys/posix/sed.c,infer,,toybox_0_7_5,DEAD_STORE,,494,True,SED
127,lib/password.c,infer,,toybox_0_7_5,NULL_DEREFERENCE,,986,False,generic
1468,toys/posix/ps.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,962,True,PS or TOP or IOTOP or PGREP or PKILL
49,toys/other/taskset.c,infer,,toybox_0_7_5,DEAD_STORE,,730,True,TASKSET or NPROC
73,toys/other/oneit.c,infer,,toybox_0_7_5,RESOURCE_LEAK,,512,True,ONEIT
53,toys/other/mountpoint.c,infer,,toybox_0_7_5,MEMORY_LEAK,,255,True,-CONFIG_TOYBOX_FREE and CONFIG_MOUNTPOINT
458,lib/xwrap.c,infer,,toybox_0_7_5,NULL_DEREFERENCE,,986,False,generic
1506,toys/posix/ps.c,infer,,toybox_0_7_5,DEAD_STORE,,962,True,PS or TOP or IOTOP or PGREP or PKILL
76,toys/posix/comm.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,462,True,COMM
53,main.c,infer,,toybox_0_7_5,DEAD_STORE,,986,False,generic
82,toys/posix/od.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,491,True,OD
253,toys/other/bzcat.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,748,True,BZCAT or BUNZIP2
373,lib/xwrap.c,infer,,toybox_0_7_5,RESOURCE_LEAK,,986,False,generic
1453,toys/posix/ps.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,962,True,PS or TOP or IOTOP or PGREP or PKILL
39,toys/posix/nohup.c,infer,,toybox_0_7_5,RESOURCE_LEAK,,476,True,NOHUP
1793,toys/posix/ps.c,infer,,toybox_0_7_5,DEAD_STORE,,962,True,PS or TOP or IOTOP or PGREP or PKILL
228,lib/xwrap.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,986,False,generic
126,scripts/mkflags.c,infer,,toybox_0_7_5,NULL_DEREFERENCE,,986,False,generic
790,lib/xwrap.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,986,False,generic
1513,toys/posix/ps.c,infer,,toybox_0_7_5,DEAD_STORE,,962,True,PS or TOP or IOTOP or PGREP or PKILL
160,lib/args.c,infer,,toybox_0_7_5,DEAD_STORE,,986,False,generic
52,main.c,infer,,toybox_0_7_5,DEAD_STORE,,986,False,generic
242,toys/other/lsattr.c,infer,,toybox_0_7_5,DEAD_STORE,,743,True,LSATTR or CHATTR
40,toys/posix/uuencode.c,infer,,toybox_0_7_5,DEAD_STORE,,514,True,UUENCODE
383,lib/xwrap.c,infer,,toybox_0_7_5,RESOURCE_LEAK,,986,False,generic
694,toys/posix/sed.c,infer,,toybox_0_7_5,MEMORY_LEAK,,494,True,SED
68,toys/posix/comm.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,462,True,COMM
88,toys/posix/od.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,491,True,OD
101,lib/xwrap.c,infer,,toybox_0_7_5,DEAD_STORE,,986,False,generic
223,lib/xwrap.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,986,False,generic
349,toys/posix/ls.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,655,True,LS
314,toys/lsb/mount.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,496,True,MOUNT
157,toys/lsb/md5sum.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,954,True,CONFIG_SHA1SUM or CONFIG_SHA384SUM or CONFIG_SHA512SUM or CONFIG_SHA224SUM or CONFIG_SHA256SUM or CONFIG_MD5SUM
90,toys/net/netcat.c,infer,,toybox_0_7_5,DEAD_STORE,,658,True,NETCAT
95,toys/posix/ulimit.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,510,True,ULIMIT
238,toys/other/lsattr.c,infer,,toybox_0_7_5,DEAD_STORE,,743,True,LSATTR or CHATTR
203,toys/net/ftpget.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,738,True,FTPGET or FTPPUT
145,lib/args.c,infer,,toybox_0_7_5,DEAD_STORE,,986,False,generic
150,toys/net/ftpget.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,738,True,FTPGET or FTPPUT
118,toys/net/ifconfig.c,infer,,toybox_0_7_5,DEAD_STORE,,457,True,IFCONFIG
215,toys/posix/grep.c,infer,,toybox_0_7_5,UNINITIALIZED_VALUE,,507,True,GREP
